name,Age,km_driven,FuelEconomy_kmpl,engine_p,engine_v,selling_price
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,67,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,67,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,34,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,47,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,88,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,85,1984,2475000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,80,1999,2711000
Lexus ES 300h,1,20000,22.3,68,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,88,1999,3200000
Tata Safari Storme EX,5,110000,14.1,73,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,88,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,73,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,78,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,62,1248,740000
Honda Jazz VX,4,56494,18.2,81,1199,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,7,79328,12.9,98,2494,750000
Maruti Swift AMT VVT VXI,1,5621,22.0,73,1197,650000
Toyota Etios VX,3,25538,16.7,73,1496,625000
Maruti Swift AMT ZXI,2,69779,22.0,88,1197,600000
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,67,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,47,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,88,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,67,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,73,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,63,1984,2475000
Mitsubishi Lancer 2.0 LXd,21,100000,14.8,73,1998,155000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,88,1999,2711000
Lexus ES 300h,1,20000,22.3,53,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,87,1999,3200000
Tata Safari Storme EX,5,110000,14.1,73,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,88,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,88,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,64,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,62,1248,740000
Honda Jazz VX,4,56494,18.2,64,1199,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,7,79328,12.9,81,2494,750000
Maruti Swift AMT VVT VXI,1,5621,22.0,93,1197,650000
Toyota Etios VX,3,25538,16.7,62,1496,625000
Maruti Swift AMT ZXI,2,69779,22.0,67,1197,600000
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,67,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,53,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,88,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,67,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,88,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,63,1984,2475000
Ford Fiesta 1.5 TDCi Titanium,5,80000,25.0,88,1498,590000
Hyundai Xcent 1.1 CRDi S,4,120000,24.4,74,1120,350000
Maruti Ignis 1.2 Zeta BSIV,3,30000,20.8,69,1197,484999
Tata Indica Vista TDI LS,5,110000,19.1,74,1405,240000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,12,219000,12.8,81,2494,500000
Maruti Alto 800 LXI,3,80000,24.7,88,796 ,300000
Maruti Ciaz RS ZDi Plus SHVS,4,80000,28.0,98,1248,750000
Maruti Swift Dzire VXI,4,35000,20.8,98,1197,574000
Tata Indica Vista Quadrajet 90 VX,7,167000,22.3,86,1248,200000
Hyundai Creta 1.6 CRDi SX Option,4,94000,19.6,81,1582,1100000
Hyundai Santro Xing GL Plus,8,80000,17.9,98,1086,350000
Maruti 800 DX,22,100000,16.1,62,796 ,70000
Ford Ikon 1.3 Flair,15,90000,13.8,46,1299,120000
Toyota Innova 2.5 G (Diesel) 7 Seater,8,246000,12.9,88,2494,700000
Maruti Baleno Sigma 1.2,1,10000,21.4,73,1197,500000
Tata Indigo CS LS (TDI) BS-III,4,90000,19.0,81,1405,370000
Tata Tigor 2017-2020 XZ Plus,1,5200,20.3,67,1199,600000
Maruti Zen LX - BS III,14,120000,17.3,81,993 ,100000
Maruti Swift VDI,7,90000,22.9,88,1248,409999
Honda City i VTEC CVT SV,4,50000,18.0,48,1497,750000
Hyundai Grand i10 1.2 Kappa Asta,3,5000,18.9,81,1197,600000
Mahindra KUV 100 G80 K8 Dual Tone,2,10500,18.1,98,1198,550000
Renault Duster 110PS Diesel RxZ,2,26000,19.6,46,1461,950000
Mahindra Scorpio VLX 2WD ABS AT BSIII,6,139000,11.7,46,2179,645000
Mahindra XUV500 W8 2WD,6,60000,15.1,88,2179,750000
Mercedes-Benz New C-Class C 200 Kompressor Elegance MT,14,40000,11.7,67,1796,650000
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,5,25000,15.8,78,1499,800000
Toyota Corolla Altis 1.8 J,10,60000,14.5,67,1798,350000
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,5,25000,15.8,98,1499,700000
Maruti Swift Dzire ZXi,9,15000,17.5,67,1298,335000
Maruti Swift Dzire LDi,8,110000,19.3,88,1248,270000
Maruti Swift Dzire ZDi,10,100000,19.3,81,1248,320000
Hyundai Santro Xing XS,13,120000,17.8,88,1086,120000
Audi A4 1.8 TFSI,10,55000,12.3,81,1781,730000
Maruti SX4 Vxi BSIII,13,120000,15.0,73,1586,125000
Maruti Zen Estilo 1.1 LXI BSIII,13,35000,18.2,88,1061,150000
Maruti Alto 800 LXI,2,13000,24.7,47,796 ,310000
Maruti Swift Dzire VDI,5,50000,26.5,83,1248,625000
Hyundai i10 Magna,8,40000,20.3,98,1197,267000
Hyundai i20 Active 1.2 SX Dual Tone,4,25000,17.1,47,1197,600000
Maruti Eeco 7 Seater Standard BSIV,9,110000,15.3,73,1196,180000
Toyota Glanza G Smart Hybrid,1,5000,23.8,53,1197,700000
Maruti 800 AC,7,50000,16.1,73,796 ,121000
Hyundai Grand i10 Asta,6,80000,18.9,88,1197,350000
Toyota Innova 2.5 G (Diesel) 8 Seater,8,225000,12.9,88,2494,869999
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,88,1999,2711000
Lexus ES 300h,1,20000,22.3,55,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,98,1999,3200000
Tata Safari Storme EX,5,110000,14.1,57,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,88,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,73,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,87,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,98,1248,740000
Honda Jazz VX,4,56494,18.2,87,1199,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,7,79328,12.9,68,2494,750000
Maruti Swift AMT VVT VXI,1,5621,22.0,98,1197,650000
Toyota Etios VX,3,25538,16.7,88,1496,625000
Maruti Swift AMT ZXI,2,69779,22.0,81,1197,600000
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,47,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,88,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,73,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,88,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,88,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,67,1984,2475000
Maruti Wagon R LX BSIII,12,100000,17.3,74,1061,80000
Hyundai i10 Era 1.1,12,93331,19.8,37,1086,120000
Mahindra Scorpio M2DI,8,120000,13.5,76,2179,370000
Nissan Terrano XL 110 PS,5,70000,19.0,81,1461,750000
Mahindra Bolero Power Plus Plus Non AC BSIV PS,5,100000,15.9,98,2523,484999
Hyundai Accent CRDi,14,90000,13.1,81,1493,120000
Honda City i VTEC V,3,28000,17.8,67,1497,860000
Maruti Swift Dzire LDI,2,50000,28.4,47,1248,650000
Maruti Ertiga ZDI,6,90000,20.7,62,1248,650000
Hyundai Verna 1.4 CRDi,4,40000,24.8,98,1396,710000
Ford Figo 1.5D Base MT,3,113000,25.8,85,1498,430000
Maruti Swift Vdi BSIII,9,188000,17.8,37,1248,305000
Ford Figo Diesel Titanium,9,100000,20.0,85,1399,220000
Tata Sumo MKII Turbo 2.0 LX,10,225000,14.0,84,1948,150000
Mahindra TUV 300 mHAWK100 T8,3,67000,18.4,62,1493,660000
Chevrolet Beat Diesel LT Option,9,70000,25.4,46,936 ,140000
Toyota Corolla Altis JS MT,5,50000,14.2,55,1798,1100000
Jaguar XF 2.2 Litre Luxury,7,60000,16.3,46,2179,2450000
Volkswagen Ameo 1.5 TDI Comfortline AT,3,34000,22.0,46,1498,625000
Honda City 1.5 GXI,16,110000,12.8,81,1493,198000
Maruti Wagon R LXI,15,140000,18.9,62,998 ,130000
Honda City Corporate Edition,8,100000,16.8,46,1497,540000
Hyundai Grand i10 1.2 Kappa Sportz AT,3,10000,18.9,62,1197,550000
Maruti Celerio ZXI Optional,2,30000,21.6,46,998 ,475000
Toyota Fortuner 2.8 4WD AT BSIV,4,90000,15.0,88,2755,3100000
Maruti Ritz VDi,10,120000,21.1,67,1248,217000
Maruti Swift Dzire AMT ZXI Plus,1,6500,21.2,88,1197,750000
Maruti Gypsy King ST BSIII,10,80000,11.9,67,1298,350000
Mahindra Scorpio VLS 2.2 mHawk,12,100000,12.0,88,2179,400000
Toyota Etios VD,5,120000,23.5,88,1364,570000
Hyundai EON Era Plus,8,120000,21.1,47,814 ,180000
Opel Astra 1.6,22,110000,13.1,88,1598,68000
Skoda Octavia Classic 1.9 TDI MT,14,150000,18.7,86,1896,280000
Tata Indigo LS,15,120000,16.1,89,1405,90000
Mercedes-Benz M-Class ML 250 CDI,5,100000,15.2,82,2143,2600000
Tata Sumo Gold EX,2,63000,15.3,83,2956,700000
Mercedes-Benz GLA Class 200 CDI,4,40000,17.9,83,2143,1850000
Ford Ecosport 1.5 DV5 MT Titanium,5,109000,22.7,83,1498,685000
Maruti Swift VDI Windsong Limited edition,5,114000,25.2,67,1248,565000
Skoda Octavia Elegance 1.8 TSI AT,3,33000,14.7,88,1798,1600000
Hyundai Grand i10 CRDi Asta Option,6,160000,24.0,81,1120,395000
Hyundai i20 Sportz 1.4 CRDi,7,101000,21.9,67,1396,425000
Volkswagen Vento 1.5 TDI Highline BSIV,1,5400,22.2,88,1498,1350000
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,4,45000,16.3,68,1995,1950000
Renault KWID AMT RXL,2,31000,24.0,46,999 ,535000
Renault KWID 1.0 RXT Optional,2,31000,23.0,46,999 ,500000
Maruti Wagon R VXI Opt 1.2,4,55000,20.5,74,1197,434999
Tata Nano XTA,2,55000,21.9,81,624 ,250000
Hyundai Verna 1.6 SX,6,117000,22.3,46,1582,700000
BMW 3 Series 320d Luxury Line,10,102000,19.6,82,1995,1100000
Volkswagen Passat 2.0 TDI AT Highline,8,108000,17.4,88,1968,900000
Maruti Wagon R VXI 1.2,5,75000,20.5,98,1197,425000
Mercedes-Benz E-Class E 220 CDI Avantgarde,9,74000,10.0,81,2148,1600000
Ford Figo Titanium Diesel,7,158000,24.4,83,1499,325000
Isuzu MUX 2WD,1,10000,13.8,88,2999,2700000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2,40000,23.0,88,1498,950000
Tata Nexon 1.5 Revotorq XZA Plus,1,10000,21.5,88,1497,1140000
Tata Hexa XE,3,53000,17.6,81,2179,980000
Jeep Compass 2.0 Limited Option 4X4,3,20000,16.3,85,1956,1920000
Volkswagen Polo 1.0 TSI Highline Plus,0,5000,18.2,88,999 ,808000
Maruti Swift Dzire VXI,6,30000,19.1,73,1197,550000
Maruti Alto LXi,10,64000,19.7,88,796 ,215000
Ford Figo 1.2P Titanium Opt MT,4,10500,18.1,67,1196,512000
Maruti Alto LXi,9,50000,19.7,88,796 ,215000
Skoda Rapid 1.6 TDI Elegance,8,60000,20.5,67,1598,500000
Skoda Rapid 1.5 TDI Elegance Black Package,5,35000,21.1,83,1498,700000
Tata Safari DICOR 2.2 LX 4x2,8,135000,13.9,81,2179,525000
Mahindra Scorpio LX BSIV,9,70000,12.0,88,2179,550000
Maruti Vitara Brezza ZDi,4,80000,24.3,58,1248,750000
Maruti Celerio X VXI Option BSIV,3,25000,21.6,67,998 ,395000
Hyundai i20 2015-2017 Sportz 1.2,3,5000,18.6,81,1197,675000
Hyundai Santro Xing GLS,12,80000,17.9,88,1086,140000
Mahindra Scorpio VLX 2WD BSIV,9,120000,12.0,88,2179,430000
Jaguar XE 2016-2019 2.0L Diesel Prestige,3,9000,13.6,98,1999,2711000
Lexus ES 300h,1,20000,22.3,86,2487,5150000
Jaguar XF 2.0 Diesel Portfolio,3,45000,19.3,67,1999,3200000
Tata Safari Storme EX,5,110000,14.1,88,2179,503000
Volvo XC40 D4 Inscription BSIV,1,20000,18.0,88,1969,3800000
Toyota Camry 2.5 Hybrid,4,68089,19.1,81,2494,2000000
Maruti Wagon R LXI,7,58343,21.7,66,998 ,225000
Maruti Baleno Alpha 1.3,2,38817,27.3,67,1248,740000
Honda Jazz VX,4,56494,18.2,61,1199,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,7,79328,12.9,68,2494,750000
Maruti Swift AMT VVT VXI,1,5621,22.0,85,1197,650000
Toyota Etios VX,3,25538,16.7,67,1496,625000
Maruti Swift AMT ZXI,2,69779,22.0,85,1197,600000
Hyundai Grand i10 1.2 CRDi Sportz,3,56290,24.0,85,1186,450000
BMW X4 M Sport X xDrive20d,1,7500,16.7,93,1995,5400000
BMW X4 M Sport X xDrive20d,1,8500,16.7,84,1995,5500000
Honda Amaze V CVT Petrol BSIV,1,7032,19.0,83,1199,779000
Skoda Rapid 1.6 MPI AT Elegance,4,11000,14.3,88,1598,645000
Volvo V40 D3 R-Design,2,2000,16.8,67,1984,2475000
Maruti Wagon R LXI BS IV,6,10000,20.5,88,998 ,300000
Chevrolet Sail Hatchback Diesel,7,68000,22.1,81,1248,355000
Maruti Alto 800 VXI,5,35000,22.7,88,796 ,180000
Tata Indigo eCS VX BSIV,7,70000,25.0,81,1396,280000
Tata Manza ELAN Quadrajet BS III,9,70000,19.0,73,1248,250000
Tata Indica GLS BS IV,13,50000,15.3,88,1193,125000
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2,29700,25.1,67,1248,810000
Hyundai i20 1.4 Magna AT,2,20000,18.6,67,1368,671000
Maruti Alto 800 VXI,2,20000,24.7,74,796 ,295000
Maruti Ertiga SHVS ZDI Plus,3,40000,24.5,62,1248,850000
Maruti Swift ZDi,7,90000,22.9,66,1248,409999
Maruti Ertiga VXI,5,90000,16.0,46,1373,600000
Mahindra Bolero 2011-2019 ZLX,5,80000,15.9,98,2523,600000
Maruti Wagon R LXI BSIII,8,60000,18.9,67,998 ,220000
Maruti Swift Dzire VDI,7,56000,23.4,61,1248,550000
Mahindra Scorpio EX,6,50000,14.0,98,2523,650000
Mahindra Scorpio 2009-2014 EX 2WD 9S,6,50000,14.0,74,2523,655000
Tata Sumo GX 7 Str BSII,14,74000,13.7,46,1948,130000
Renault Duster 110PS Diesel RxL,6,123000,19.0,67,1461,400000
Maruti Alto LXi,11,54000,19.7,62,796 ,155000
Tata Indigo CS eGLS BS IV,7,50000,15.6,46,1193,250000
Hyundai Grand i10 Sportz,6,80000,18.9,74,1197,400000
Datsun GO A Option Petrol,1,10000,19.0,88,1198,500000
Hyundai Santro Sportz AMT BSIV,2,10000,20.3,82,1086,565000
Ford EcoSport 1.5 Diesel Titanium BSIV,2,40000,23.0,88,1498,900000
Mahindra Bolero Power Plus SLE,3,120000,16.5,83,1493,650000
Mahindra Bolero 2011-2019 ZLX,7,45000,15.9,98,2523,600000
Maruti Swift Dzire VDI,2,35000,28.4,55,1248,800000
Hyundai i20 Sportz 1.4 CRDi,5,60000,22.5,67,1396,575000
Ford Figo 1.5P Titanium AT,4,40000,17.0,98,1499,550000
Maruti SX4 Vxi BSIV,9,80000,15.5,86,1586,190000
Ford EcoSport 1.5 Diesel Trend Plus BSIV,3,37000,23.0,98,1498,750000
Maruti Baleno Delta 1.2,2,22000,21.4,62,1197,625000
Hyundai i20 1.4 Asta,2,60000,22.5,69,1396,799000
Maruti Wagon R VXI BS IV,7,57000,20.5,73,998 ,300000
Maruti Ciaz 1.4 Alpha,3,27000,20.7,73,1373,850000
Chevrolet Spark 1.0 LT,8,70000,18.0,67,995 ,130000
Maruti Alto K10 2010-2014 VXI,9,40000,20.9,83,998 ,229999
Maruti Celerio ZXI,5,60000,23.1,67,998 ,400000
Mahindra Thar CRDe,2,35000,16.5,88,2498,900000
Mahindra Scorpio 1.99 S4,5,70000,15.4,62,1997,800000
Hyundai EON Era Plus,5,43000,21.1,73,814 ,250999
Tata Manza Aqua Safire,9,110000,15.0,86,1368,250000
Fiat Punto 1.2 Active,11,100000,15.7,73,1172,100000
Maruti Swift VXI Optional,4,64000,20.4,93,1197,450000
Renault Duster 85PS Diesel STD,3,96000,19.8,83,1461,575000
Renault Duster 85PS Diesel RxL Optional,7,96000,20.4,88,1461,400000
Maruti Celerio X ZXI BSIV,1,7600,21.6,88,998 ,480000
Maruti Celerio X ZXI BSIV,1,7000,21.6,68,998 ,490000
Tata Indigo LX,13,120000,17.0,79,1405,150000
Tata Bolt Quadrajet XM,3,50000,22.9,67,1248,600000
Hyundai Xcent 1.1 CRDi SX Option,5,50000,24.4,81,1120,500000
Tata Zest Quadrajet 1.3 Anniversary Edition,5,80000,23.0,88,1248,425000
Hyundai Accent DLS,17,200000,13.1,81,1493,108000
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,5,190000,12.9,67,2494,1030000
Maruti Wagon R VXI Optional,5,34000,20.5,83,998 ,360000
Volkswagen Polo Petrol Comfortline 1.2L,8,80000,16.4,78,1198,290000
Maruti Swift VDI,9,72000,22.9,62,1248,400000
Maruti Esteem DI,17,20000,15.9,83,1527,70000
Tata Sumo CX,8,70000,15.3,73,2956,320000
Ford EcoSport 1.5 Diesel Titanium BSIV,1,30000,23.0,68,1498,975000
Honda City i-VTEC CVT ZX,1,5000,18.0,78,1497,1227000
Hyundai Verna 1.6 SX CRDi (O),6,29340,22.3,88,1582,755000
Ford Figo Diesel LXI,9,120000,20.0,67,1399,215000
Toyota Innova 2.5 G4 Diesel 7-seater,9,200000,12.8,46,2494,735000
Hyundai i10 Era,13,70000,19.8,91,1086,190000
Toyota Innova 2.5 VX (Diesel) 8 Seater,6,80800,12.9,74,2494,1365000
Honda Jazz 1.2 VX i VTEC,2,24265,18.7,34,1199,675000
Maruti Swift Dzire VDI,6,81000,23.4,86,1248,438999
Renault Lodgy Stepway 110PS RXZ 7S,5,240000,19.9,88,1461,550000
Maruti Swift Dzire VXI,7,35000,19.1,88,1197,409999
Renault KWID RXT Optional,1,15000,25.1,85,799 ,350000
Chevrolet Beat Diesel,8,49000,25.4,81,936 ,135000
Toyota Innova Crysta 2.4 GX MT 8S BSIV,4,56900,13.6,88,2393,1490000
Maruti Swift VDI BSIV,6,70000,25.2,46,1248,520000
Maruti Swift Dzire VDi,10,180000,19.3,78,1248,315000
Maruti A-Star Lxi,10,50000,19.0,88,998 ,235000
Hyundai Accent GLE,15,50000,13.2,88,1495,80500
Maruti Ritz VDi,7,88200,23.2,88,1248,375000
Maruti Swift VXi BSIV,14,93000,16.1,73,1197,189000
Honda Amaze E Option i-DTEC,3,120000,25.8,74,1498,550000
Ford Fiesta EXi 1.4 TDCi Ltd,9,110000,17.8,98,1399,260000
Maruti Swift Dzire AMT ZDI,4,50000,26.5,76,1248,650000
Maruti Swift Dzire VDI,7,80000,23.4,81,1248,480000
Hyundai i20 Asta Option 1.4 CRDi,4,40000,22.5,88,1396,700000
Maruti Ertiga VDI,5,110000,20.7,74,1248,650000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,5,48000,19.6,78,1582,1300000
Volkswagen Jetta 2.0L TDI Highline AT,4,97000,16.9,55,1968,1350000
Volkswagen Vento 1.5 TDI Highline AT,4,60000,22.1,74,1498,1000000
Mercedes-Benz M-Class ML 350 4Matic,9,110000,0.0 ,46,2987,1700000
Toyota Yaris V CVT BSIV,2,12800,17.8,62,1496,1080000
Hyundai EON D Lite,8,40000,21.1,81,814 ,170000
Maruti Swift DDiS VDI,3,49000,28.4,98,1248,610000
Maruti Ritz VXi,6,25000,18.5,76,1197,350000
Maruti Alto 800 LXI,4,65000,22.7,85,796 ,260000
Fiat Linea 1.3 Multijet Emotion,5,20000,20.4,88,1248,700000
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2,17000,18.7,68,999 ,678000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,5,15000,23.6,88,1248,800000
Toyota Etios GD,6,120000,23.5,68,1364,400000
Hyundai i20 Magna,10,49000,18.5,88,1197,300000
Hyundai i20 2015-2017 Magna 1.2,4,29000,18.6,47,1197,520000
Nissan Terrano XV D Premium AMT,3,55000,19.6,88,1461,850000
Maruti Alto K10 VXI,5,40000,23.9,81,998 ,300000
Honda City 1.5 S Inspire,10,120000,17.0,78,1497,350000
Maruti Vitara Brezza ZDi,1,10000,24.3,81,1248,892000
Fiat Grande Punto Sport 90BHP,8,70000,20.3,67,1248,285000
Hyundai i10 Magna LPG,8,60000,19.2,62,1086,300000
Maruti Ciaz VDI SHVS,4,90000,28.0,53,1248,620000
Maruti Vitara Brezza ZDi,3,90000,24.3,84,1248,750000
Maruti Alto 800 LXI,4,35000,22.7,67,796 ,270000
Maruti Ertiga ZDI,6,90000,20.7,67,1248,560000
Hyundai Santro Xing GLS,8,40000,17.9,98,1086,300000
Hyundai Santro Xing GLS,8,40000,17.9,64,1086,300000
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2,20000,18.9,88,1197,570000
Tata Indigo CS eLX BS IV,9,80000,23.0,73,1396,220000
Maruti SX4 Vxi BSIV,8,99000,15.5,53,1586,260000
Maruti Swift AMT VXI,1,7500,21.2,81,1197,600000
Tata Nano XE,5,60000,23.9,88,624 ,80000
Hyundai EON Magna Plus,4,40800,21.1,88,814 ,300000
Tata Zest Revotron 1.2T XM,5,70000,17.5,83,1193,300000
Mahindra KUV 100 mFALCON G80 K8 5str,4,100000,18.1,88,1198,400000
Maruti Swift VXI BSIV,4,8588,22.0,81,1197,550000
Honda City i-DTEC V,1,40000,25.6,83,1498,1200000
Ford Figo 1.5D Trend MT,5,60000,25.8,67,1498,500000
Maruti Esteem Vxi - BSIII,15,80000,15.9,81,1298,93000
Honda City i DTEC SV,6,110000,26.0,73,1498,500000
Toyota Platinum Etios 1.4 GXD,2,150000,23.5,81,1364,670000
Toyota Innova 2.5 VX 7 STR,8,120000,12.8,88,2494,750000
Maruti Alto K10 VXI,3,30000,23.9,67,998 ,370000
Maruti 800 Std,8,70000,16.1,67,796 ,100000
Hyundai i10 Sportz 1.1L,4,50000,19.8,93,1086,425000
Toyota Innova 2.5 V Diesel 8-seater,14,305000,12.8,85,2494,370000
Tata New Safari DICOR 2.2 EX 4x2,11,212000,11.5,86,2179,229999
Maruti Ertiga SHVS VDI,4,35000,24.5,78,1248,850000
Mahindra Verito 1.5 D4 BSIV,2,22000,21.0,83,1461,750000
Tata Winger Deluxe - Flat Roof (Non-AC),10,50000,10.7,78,1948,235000
Honda WR-V i-DTEC S,3,70000,25.5,98,1498,700000
Hyundai Grand i10 CRDi Magna,4,56000,24.0,47,1120,480000
Tata Zest Quadrajet 1.3 75PS XM,4,50000,22.9,73,1248,475000
Skoda Rapid 1.5 TDI Ambition,5,120000,21.1,85,1498,610000
Toyota Innova 2.5 G4 Diesel 8-seater,9,120000,12.8,46,2494,650000
Honda WR-V i-DTEC S,3,70000,25.5,46,1498,800000
Tata New Safari DICOR 2.2 EX 4x2,5,120000,11.5,55,2179,520000
Tata Indica V2 eLS,6,90000,25.0,78,1396,160000
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2,70000,25.1,88,1248,1000000
Maruti Ertiga VDI,5,120000,20.7,67,1248,700000
Honda Amaze S i-DTEC,3,70000,25.8,93,1498,590000
Maruti Wagon R VXI,18,80000,18.9,79,998 ,140000
Mahindra TUV 300 mHAWK100 T8,3,100000,18.4,78,1493,725000
Toyota Innova Crysta 2.4 ZX MT BSIV,3,157000,13.6,88,2393,1680000
Maruti Swift Dzire VDI,5,50000,26.5,88,1248,550000
Maruti Ritz VDi,8,90000,23.2,74,1248,240000
Chevrolet Captiva 2.2 LT,7,65000,14.6,35,2231,667000
Honda Jazz 1.5 S i DTEC,3,50000,27.3,68,1498,670000
Maruti Swift Dzire VDI,5,110000,26.5,91,1248,550000
Maruti Celerio ZXI,5,30000,23.1,98,998 ,400000
Hyundai Verna 1.6 SX,6,80000,22.3,73,1582,545000
Maruti Ertiga LXI,5,70000,16.0,73,1373,599000
Hyundai Creta 1.4 CRDi S,4,100000,21.3,58,1396,725000
Honda City i VTEC V,5,120000,17.4,67,1497,525000
Maruti Ritz VDi,9,85000,21.1,74,1248,204999
Skoda Fabia Scout 1.2 TDI,8,110000,21.0,78,1199,190000
Hyundai Grand i10 CRDi Sportz,5,60000,24.0,66,1120,310000
Hyundai Grand i10 CRDi Sportz,4,90000,24.0,91,1120,380000
Maruti Alto K10 2010-2014 VXI,8,110000,20.9,88,998 ,204000
Hyundai EON 1.0 Era Plus,2,25000,20.3,74,998 ,350000
Volkswagen Vento Diesel Highline,7,100000,20.5,81,1598,350000
Ford Figo Diesel Titanium,8,120000,20.0,88,1399,175000
Volkswagen Vento Diesel Highline,9,90000,20.5,98,1598,340000
Honda City i-VTEC VX,3,35000,17.4,78,1497,950000
Honda City i VTEC V,3,35000,17.8,81,1497,894999
Tata Sumo Gold EX,6,101200,15.3,88,2956,350000
Tata Indigo GLX,15,90000,12.8,57,1396,100000
Maruti Swift Dzire VDI,4,76000,26.5,85,1248,550000
Tata Indigo LX,16,60000,16.1,55,1405,100000
Mahindra XUV500 W6 2WD,4,90000,16.0,57,2179,800000
Mahindra Bolero 2011-2019 ZLX BSIII,7,80000,15.9,81,2523,525000
Tata New Safari DICOR 2.2 EX 4x2,12,179150,11.5,67,2179,500000
Maruti 800 Std MPFi,17,62000,16.1,67,796 ,42000
Maruti Swift Dzire 1.2 Lxi BSIV,11,160000,17.5,81,1197,190000
Maruti Swift Dzire VDI,1,35000,28.4,73,1248,694000
Mahindra XUV500 AT W6 2WD,4,120000,16.0,46,2179,861999
Honda Amaze SX i-DTEC,3,50000,25.8,88,1498,650000
Maruti Swift Dzire ZDi,9,70000,19.3,98,1248,310000
Maruti Swift VDI,7,97000,22.9,88,1248,360000
Maruti Swift Dzire LDi,9,90000,19.3,81,1248,240000
Mahindra XUV500 W8 AWD,8,84487,15.1,98,2179,500000
Toyota Innova 2.5 GX 7 STR,10,100000,12.8,88,2494,475000
Maruti Alto LX,13,60000,19.7,81,796 ,100000
Maruti SX4 Zxi BSIII,11,110000,15.0,88,1586,200000
Toyota Innova 2.5 G2,14,264000,12.8,88,2494,430000
Mahindra Xylo E4 BS IV,10,146000,14.0,67,2498,245000
Maruti Swift Dzire VDI,6,70000,23.4,34,1248,450000
Maruti Vitara Brezza VDi Option,3,51146,24.3,98,1248,800000
Maruti Ritz LXI,9,40000,21.1,67,1197,215000
Maruti Vitara Brezza VDi Option,3,50000,24.3,93,1248,760000
